{'epoch': 0, 'batch_idx': 16, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.18816977739334106, 'time': 1651599037.3457215}, {'loss_type': 'value_loss', 'loss': 0.4670642018318176, 'time': 1651599037.3457348}, {'loss_type': 'rolling_mean', 'loss': -0.20417287630402384, 'time': 1651599037.3460743}], 'time': 1651599037.34608, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 17, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.07621045410633087, 'time': 1651599039.1982892}, {'loss_type': 'value_loss', 'loss': 0.40093934535980225, 'time': 1651599039.1983035}, {'loss_type': 'rolling_mean', 'loss': -0.2050561797752809, 'time': 1651599039.1986666}], 'time': 1651599039.1986737, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 18, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.11716891080141068, 'time': 1651599041.0901997}, {'loss_type': 'value_loss', 'loss': 0.44904884696006775, 'time': 1651599041.0902135}, {'loss_type': 'rolling_mean', 'loss': -0.2, 'time': 1651599041.0906315}], 'time': 1651599041.0906382, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 19, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.054243337363004684, 'time': 1651599042.9533463}, {'loss_type': 'value_loss', 'loss': 0.39032402634620667, 'time': 1651599042.95336}, {'loss_type': 'rolling_mean', 'loss': -0.20251572327044026, 'time': 1651599042.9537344}], 'time': 1651599042.9537408, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 20, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.49883875250816345, 'time': 1651599044.8249383}, {'loss_type': 'value_loss', 'loss': 0.5553717613220215, 'time': 1651599044.8249521}, {'loss_type': 'rolling_mean', 'loss': -0.18660287081339713, 'time': 1651599044.8253095}], 'time': 1651599044.8253152, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 21, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.5358051061630249, 'time': 1651599046.7350698}, {'loss_type': 'value_loss', 'loss': 0.5600515007972717, 'time': 1651599046.7350867}, {'loss_type': 'rolling_mean', 'loss': -0.16856492027334852, 'time': 1651599046.7354867}], 'time': 1651599046.7354941, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 22, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.09391633421182632, 'time': 1651599048.6250389}, {'loss_type': 'value_loss', 'loss': 0.4304245710372925, 'time': 1651599048.6250534}, {'loss_type': 'rolling_mean', 'loss': -0.1655773420479303, 'time': 1651599048.625436}], 'time': 1651599048.6254423, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 23, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.041363753378391266, 'time': 1651599050.5565476}, {'loss_type': 'value_loss', 'loss': 0.4267958402633667, 'time': 1651599050.556561}, {'loss_type': 'rolling_mean', 'loss': -0.1678832116788321, 'time': 1651599050.5567815}], 'time': 1651599050.5567873, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 24, 'losses': [{'loss_type': 'policy_loss', 'loss': -0.13924001157283783, 'time': 1651599052.4111924}, {'loss_type': 'value_loss', 'loss': 0.4064328074455261, 'time': 1651599052.411207}, {'loss_type': 'rolling_mean', 'loss': -0.17269076305220885, 'time': 1651599052.411631}], 'time': 1651599052.411638, 'type': 'trainstep_info'}
{'epoch': 0, 'batch_idx': 25, 'losses': [{'loss_type': 'policy_loss', 'loss': 0.29697319865226746, 'time': 1651599054.3097384}, {'loss_type': 'value_loss', 'loss': 0.47925931215286255, 'time': 1651599054.3097522}, {'loss_type': 'rolling_mean', 'loss': -0.154, 'time': 1651599054.3101258}], 'time': 1651599054.3101315, 'type': 'trainstep_info'}
